Abbreviation,Meaning
A,Address
AAAA,Authentication
ACL,Access Control List
ADSL,Asymmetric Digital Subscriber Line
AES,Advanced Encryption Standard
AH,Authentication Header
AP,Access Point
APC,Angle Polished Connector
APIPA,Automatic Private Internet Protocol Addressing
APT,Advanced Persistent Tool
ARIN,American Registry for Internet Numbers
ARP,Address Resolution Protocol
AS,Autonomous System
ASCII,American Standard Code for Information Exchange
ASIC,Application Specific Integrated Circuit
ATM,Asynchronous Transfer Mode
AUP,Acceptable Use Policy
Auto-MDX,Automatic Medium-Dependent Interface Crossover
BCP,Business Continuity Plan
BERT,Bit-Error Rate Test
BGP,Border Gateway Protocol
BLE,Bluetooth Low Energy
BNC,British Naval Connector/Bayonet Niell-Concelman
BPDU,Bridge Protocol Data Unit
BRI,Basic Rate Interface
BSSID,Basci Service Set Identifier
BYOD,Bring Your Own Device
CaaS,Communication as a Service
CAN,Campus Area Network
CARP,Common Address Redundancy Protocol
CASB,Cloud Access Security Broker
CAT,Category
CCMP,Counter-mode Cipher Block Chaining Message Authentication Code Protocol
CCTV,Closed Circuit TV
CDMA,Code Division Multiple Access
CSMA/CD,Carrier Sense Multiple Access/Collision Detection
CHAP,Challenge Handshake Authentication Protocol
CIDR,Classless Inter-Domain Routing
CIFS,Common Internet File System
CNAME,Canonical Name
CoS,Class of Service
CPU,Central Processing Unit
CRAM-MD5,Challenge-Response Authentication Mechanism-Message Digest 5
CRC,Cyclic Redundancy Checking
CSMA/CA,Carrier Sense Multiple Access/Collision Avoidance
CSU,Channel Service Unit
CVE,Common Vulnerabilities & Exposures
CVW,Collaborative Virtual Workspace
CWDM,Coarse Wave Division Multiplexing
DaaS,Desktop as a Service
dB,Decible
DCS,Distributed Computer System
DDoS,Distributed Denial of Service
DLC,Data Link Control
DLP,Data Loss Prevention
DLR,Device Level Ring
DMVPN,Dynamic Multipoint Virtual Private Network
DMZ,Demilitarized Zone
DNAT,Destination Network Address Translation
DNS,Domain Name Service/Domain Name Server/Domain Name System
DOCSIS,Data-Over-Cable Service Interface Specification
DoS,Denial of Service
DPI,Deep Packet Inspection
DR,Designated Router
DSCP,Differentiated Services Code Point
DSL,Digital Subscriber Line
DSSS,Direct Sequence Spread Spectrum
DSU,Data Service Unit
DTLS,Datagram Transport Layer Security
DWDM,Dense Wavelength Division Multiplexing
E1,E-Carrier Level 1
EAP,Extensible Authentication Protocol
EBCDIC,Extended Binary Coded Decimal Interchange Code
EDNS,Extension Mechanisms for DNS
EMI,Electromagnetic Interference
ESD,Electrostatic Discharge
ESP,Encapsulated Security Payload
ESSID,Extended Sevice Set Identifier
EUI,Extended Unique Identifier
FC,Fibre Channel
FCoE,Fibre Channel over Ethernet
FCS,Frame Check Sequence
FDM,Frequency Division Multiplexing
FHSS,Frequency Hopping Spread Spectrum
FM,Frequency Modulation
FQDN,Fully Qualified Domain Name
FTP,File Transfer Protocol
FTPS,File Transfer Protocol Security
GBIC,Gigabit Interface Converter
Gbps,Gigabits per second
GLBP,Gateway Load Balancing Protocol
GPG,GNU Privacy Guard
GRE,Generic Routing Encapsulation
GSM,Global System for Mobile Communications
HA,High Availability
HDLC,High-Level Data Link Control
HDMI,High-Definition Multimedia Interface
HIDS,Host Intrusion Detection System
HIPS,Host Intrusion Prevention System
HSRP,Hot Standby Router Protocol
HT,High Throughput
HTTP,Hypertext Transfer Protocol
HTTPS,Hypertext Transfer Protocol Secure
HVAC,Heating
Hz,Hertz
IaaS,Infrastructure as a Service
IANA,Internet Assigned Numbers Authority
ICA,Independent Computer Architecture
ICANN,Internet Corporation for Assigned Names & Numbers
ICMP,Internet Control Message Protocol
ICS,Internet Connection Sharing/Industrial Control System
IDF,Intermediate Distribution Frame
IEEE,Institute of Electrical & Electronics Engineers
IGMP,Internet Group Message Protocol
IGP,Interior Gateway Protocol
IGRP,Interior Gateway Routing Protocol
IKE,Internet Key Exchange
IMAP4,Internet Message Access Protocol version 4
InterNIC,Internet Network Information Center
IP,Internet Protocol
IPAM,IP Address Management
IPS,Intrusion Prevention System
IPv4,Internet Protocol version 4
IPv6,Internet Protocol version 6
ISAKMP,Internet Security Association & Key Management Protocol
ISDN,Integrated Services Digital Network
ISP,Internet Service Provider
IT,Information Technology
ITS,Intelligent Transportation System
IV,Initialization Vector
KVM,Keyboard Video Mouse
L2TP,Layer 2 Tunneling Protocol
LACP,Link Aggregation Control Protocol
LAN,Local Area Network
LC,Local Connector
LDAP,Lightweight Directory Access Protocol
LEC,Local Exchange Carrier
LED,Light Emitting Diode
LLC,Logical Link Control
LLDP,Link Layer Discovery Protocol
LSA,Link State Advertisements
LTE,Long Term Evolution
LWAPP,Light Weight Access Point Protocol
MaaS,Mobility as a Service
MAC,Media Access Control/Medium Access Control
MAN,Metropolitan Area Network
Mbps,Megabits per second
MBps,Megabytes per second
MDF,Main Distribution Frame
MDI,Media Dependent Interface
MDIX,Media Dependent Interface Crossover
MFA,Multi-factor Authentication
MGCP,Media Gateway Control Protocol
MIB,Management Information Base
MIMO,Multiple Input
MLA,Master License Agreement/Multilateral Agreement
MMF,Multimode Fiber
MOA,Memorandum of Agreement
MOU,Memorandum of Understanding
MPLS,Multi-protocol Label Switching
MS-CHAP,Microsoft Challenge Handshake Authentication Protocol
MSDS,Material Safety Data Sheet
MT-RJ,Mechanical Transfer-Registered Jack
MTU,Maximum Transmission Unit
MTTR,Mean Time to Recovery
MU-MIMO,Multiuser Multiple Input
MX,Mail Exhanger
NAC,Network Access Control
NAS,Network Attached Storage
NAT,Network Address Translation
NCP,Network Control Protocol
NDR,Non-Delivery Receipt
NetBEUI,Network Basic Input/Output Extended User Interface
NetBIOS,Network Basic Input/Output System
NFC,Near Field Communication
NFS,Network File Service
NGFW,Next-Generation Firewall
NIC,Network Interface Card
NIDS,Network Intrusion Detection System
NIPS,Network Intrusion Prevention System
NIU,Network Interface Unit
NNTP,Network News Transport Protocol
NTP,Network Time Protocol
OCSP,Online Certificate Status Protocol
OCx,Optical Carrier
OID,Object Identifier
OOB,Out of Band
OS,Operating System
OSI,Open Systems Interconnect
OTDR,Optical Time Domain Reflectometer
OUI,Organizationally Unique Identifier
PaaS,Platform as a Service
PAN,Personal Area Network
PAP,Password Authentication Protocol
PAT,Port Address Translation
PC,Personal Computer
PCM,Phase-Change Memory
PDoS,Permanent Denial of Service
PDU,Protocol Data Unit
PGP,Pretty Good Privacy
PKI,Public Key Infrastructure
PoE,Power over Ethernet
POP,Post Office Protocol
POP3,Post Office Protocol version 3
POTS,Plain Old Telephone Service
PPP,Point-to-Point Protocol
PPPoE,Point-to-Point Protocol over Ethernet
PRI,Primary Rate Interface
PSK,Pre-Shared Key
PSTN,Pubic Switched Telephone Network
PTP,Point-to-Point
PTR,Pointer
PUA,Privileged User Agreement
PVC,Permanent Virtual Circuit
QoS,Quality of Service
QSFP,Quad Small Form-Factor Pluggable
RADIUS,Remote Authentication Dial-In User Service
RARP,Reverse Address Resolution Protocol
RAS,Remote Access Service
RDP,Remote Desktop Protocol
RF,Radio Frequency
RFI,Radio Frequency Interference
RFP,Request for Proposal
RIP,Routing Internet Protocol
RJ,Registered Jack
RPO,Recovery Point Objective
RSA,Rivest
RSH,Remote Shell
RSTP,Rapid Spanning Tree Protocol
RTP,Real-Time Protocol
RTSP,Real-Time Streaming Protocol
RTT,Round Trip Time or Real Transfer Time
SA,Security Association
SAN,Storage Area Network
SC,Standard Connector/Subscriber Connector
SCADA,Supervisory Control and Data Acquisition
SDN,Software Defined Network
SDP,Session Description Protocol
SDSL,Symmetrical Digital Subscriber Line
SECaaS,Security as a Service
SFP,Small Form-factor Pluggable
SFTP,Secure File Transfer Protocol
SGCP,Simple Gateway Control Protocol
SIEM,Security Information & Event Management
SIP,Session Initiation Protocol
SLA,Service Level Agreement
SLAAC,Stateless Address Auto Configuration
SMF,Single-Mode Fiber
SNAT,Static Network Address Translation/Source Network Address Translation
SNMP,Simple Network Management Protocol
SNR,Signal-to-Noise Ratio
SNTP,Simple Network Time Protocol
SOA,Start of Authority
SOHO,Small Office Home Office
SOP,Standard Operating Procedure
SOW,Statement of Work
SPB,Shortest Path Bridging
SPI,Stateful Packet Inspection
SPS,Standby Power Supply
SSH,Secure Shell
SSID,Service Set Identifier
SSL,Secure Sockets Layer
SSO,Single Sign-On
ST,Straight Tip or Snap Twist
STP,Spanning Tree Protocol/Shielded Twisted Pair
SYSLOG,System Log
T1,Terrestrial Carrier Level 1
TA,Terminal Adapter
TACACS,Terminal Access Control Access Control System
TACACS+,Terminal Access Control Access Control System+
TCP,Transmission Control Protocol
TCP/IP,Transmission Control Protocol/Internet Protocol
TDM,Time Division Multiplexing
Telco,Telecommunications Company
TFTP,Trivial File Transfer Protocol
TIA/EIA,Telecommunication Industries Association/Electronic Industries Alliance
TKIP,Temporal Key Integrity Protocol
TLS,Transport Layer Security
TMS,Transportation Management System
TOS,Type of Service
TPM,Trusted Platform Module
TTL,Time to Live
TTLS,Tunneled Transport Layer Security
UDP,User Datagram Protocol
UNC,Universal Naming Convention
UPC,Ultra Polished Connector
UPS,Uninterruptible Power Supply
URL,Uniform Resource Locator
USB,Universal Serial Bus
UTM,Unified Threat Management
UTP,Unshielded Twisted Pair
VDSL,Variable Digital Subscriber Line
VLSM,Variable Length Subnet Mask
VNC,Virtual Network Connection
VoIP,Voice over IP
VPN,Virtual Private Network
VRRP,Virtual Router Redundancy Protocol
WAF,Web Application Firewall
WAN,Wide Area Network
WEP,Wired Equivalent Privacy
WMS,Warehouse Management System
WPA,WiFi Protected Access
WPS,WiFi Protected Setup
XDSL,Extended Digital Subscriber Line
XML,eXtensible Markup Language
Zeroconf,Zero Configuration
